"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000109717.2",6.62276837271944,5.80982263451945,2.49710627198588,2.32662209842558,0.0199853873270972,NA
"ENSMUSG00000109698.2",2.06518964145578,-3.61390653826511,4.49879068155573,-0.803306220287489,0.421797763556144,NA
"ENSMUSG00000046794.10",1.91607996256092,4.67835236659555,4.35214550855861,1.07495311390565,0.282395720352749,NA
"ENSMUSG00000120501.1",0.350773236239728,-2.50164595920076,6.97108401161185,-0.358860394600571,0.719699529308216,NA
"ENSMUSG00000031527.8",0.0637009537061842,1.85597992546448,7.06048559365817,0.262868594637676,0.792651863103441,NA
"ENSMUSG00000097357.4",68.8473112088984,-0.311820668776653,1.95661782490022,-0.159367181883133,0.873379593490922,NA
"ENSMUSG00000070056.7",24.2106729236601,0.146720063229347,1.26392993572432,0.116082433909017,0.907587210399004,NA
"ENSMUSG00000109372.2",0.331332289704126,4.09010140694928,6.95175661051672,0.588355092979192,0.556293973398751,NA
"ENSMUSG00000055976.7",0.165666144852063,3.08270812084672,6.98522804540952,0.441318178992393,0.658982667222605,NA
"ENSMUSG00000050271.13",0.443841216658199,-0.282945823027579,6.90765201807985,-0.040961215516793,0.967326815429643,NA
"ENSMUSG00000039633.8",0.356769005970615,4.20537334009635,6.94920411073699,0.605158989876088,0.545073361823285,NA
"ENSMUSG00000039620.18",0.331332289704126,4.09010140694928,6.95175661051672,0.588355092979192,0.556293973398751,NA
"ENSMUSG00000031523.17",4.38585321591034,-3.4734115058338,2.96319708092046,-1.17218376334079,0.241123285742461,NA
"ENSMUSG00000074384.5",1.09653021592473,2.54146447580264,6.2827365813814,0.404515523272797,0.685833665084355,NA
"ENSMUSG00000121133.1",40.4349494820066,0.130369224322128,0.863229498995841,0.151024987530873,0.879956004773141,NA
"ENSMUSG00000118664.1",0.840939919353599,5.44245812301024,6.8092738673884,0.799271439070143,0.4241330360623,NA
"ENSMUSG00000025044.17",0.254803814824737,3.72942986776006,6.96118704679363,0.535746251708301,0.592133933323419,NA
"ENSMUSG00000031603.15",2.60450983884089,-0.235008561960679,3.84656174898711,-0.0610957466164588,0.951282956533206,NA
"ENSMUSG00000039478.16",7.61353055519685,-0.236310238965306,2.0176812040661,-0.117119710729864,0.90676519032587,NA
"ENSMUSG00000039470.17",118.640657770994,0.266928195027094,0.523820531073234,0.509579482270763,0.610346101270722,NA
"ENSMUSG00000031601.17",1.14248624814114,0.688903745973249,6.22732621986265,0.11062592863305,0.911912985606347,NA
"ENSMUSG00000031600.12",7.04211277041424,-0.857793475685426,2.20730635083939,-0.388615506569455,0.697560594143928,NA
"ENSMUSG00000039431.17",7.00222757802471,-3.71592053365181,2.09541008835967,-1.77336195635133,0.0761687487164361,NA
"ENSMUSG00000098050.2",0.288943553724397,-2.19976534078424,6.98326381735624,-0.315005332508981,0.752757605078773,NA
"ENSMUSG00000031596.16",3.68673638620225,8.1294286754878,3.6903408491991,2.20289371840872,0.0276022404734502,NA
"ENSMUSG00000031595.10",1.40601572968937,0.496134103326957,5.00233108447646,0.0991805810028431,0.920994892943889,NA
"ENSMUSG00000045636.17",14.1392815753058,0.239716703206889,1.58737599014278,0.151014444400994,0.879964321590241,NA
