Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Liver_ZT0_1_R2 - polyg	(1, 0.28665776577356245)	(2, 0.29152184236184675)	(3, 0.2916243638824429)	(4, 0.29173068249639444)	(5, 0.29178384180337025)	(6, 0.29184079820370146)	(7, 0.2920040732179842)	(8, 0.29232682615319433)	(9, 0.2926381878083382)	(10, 0.29320395471829475)	(12, 0.29421588009751243)	(14, 0.29475886444733645)	(16, 0.2949923856886944)	(18, 0.2952335011167631)	(20, 0.29544613834466626)	(22, 0.29562270318569295)	(24, 0.2958581229737286)	(26, 0.29606506456159865)	(28, 0.29624162940262533)	(30, 0.2964675564572724)	(32, 0.2967143675253743)	(34, 0.2969706713268646)	(36, 0.29721938094164424)	(38, 0.29750226439662253)	(40, 0.2977168001712034)	(42, 0.297971205426016)	(44, 0.29818004556056377)	(46, 0.2985065955891293)	(48, 0.2988179572442732)	(50, 0.2990799566857967)	(52, 0.299446376194594)	(54, 0.29979191168993663)	(56, 0.30016592538544484)	(58, 0.3007089097352689)	(60, 0.3012348071649936)	(62, 0.3017303278478751)	(64, 0.3022220514374011)	(66, 0.30286565876114363)	(68, 0.30345041113787724)	(70, 0.30418894579550515)	(72, 0.3050831612807049)	(74, 0.30582169593833275)	(76, 0.306545042222539)	(78, 0.30740508386754006)	(80, 0.30842840052682396)	(82, 0.3095466445199931)	(84, 0.3106155262995419)	(86, 0.31195400170732507)	(88, 0.31342727392922537)	(90, 0.3146993002032888)																								
Liver_ZT0_2_R1 - illumina_universal_adapter	(1, 3.5258650407660517e-05)	(2, 6.548035075708381e-05)	(3, 9.06651010482699e-05)	(4, 0.00016621935192182813)	(5, 0.000244292077824505)	(6, 0.0003450310789892493)	(7, 0.00038280820442602846)	(8, 0.0004508070302122309)	(9, 0.0006245818072214148)	(10, 0.0008512445598420895)	(12, 0.0011723501260547122)	(14, 0.0014405677166558438)	(16, 0.0016924152195677048)	(18, 0.002033668586013276)	(20, 0.002330848639449272)	(22, 0.002566326054671862)	(24, 0.0028685430581660946)	(26, 0.003163204636572972)	(28, 0.003588826916494017)	(30, 0.00425370432418133)	(32, 0.00528376061109084)	(34, 0.006770920115785378)	(36, 0.008637110112362269)	(38, 0.011174473704199266)	(40, 0.014539156343101725)	(42, 0.018995597907127106)	(44, 0.024256692242955874)	(46, 0.030120961348258556)	(48, 0.03749505623351784)	(50, 0.046846154016635236)	(52, 0.05836565879982375)	(54, 0.07171987264172516)	(56, 0.08714805067010575)	(58, 0.10548380811960378)	(60, 0.128250822382836)	(62, 0.1562449315690039)	(64, 0.18962983655500015)	(66, 0.22973906986874312)	(68, 0.27811393822805336)	(70, 0.3341613407635734)	(72, 0.40172698884476743)	(74, 0.48318958213663793)	(76, 0.5806369364383243)	(78, 0.6950714048114155)	(80, 0.828764651732177)	(82, 0.9840613774527176)	(84, 1.1641789338227366)	(86, 1.3784948626131577)	(88, 1.623485817258243)	(90, 1.8245041978949175)																								
Liver_ZT0_2_R1 - polya	(1, 0.0009444281359194781)	(2, 0.002745137781739283)	(3, 0.004593698453112341)	(4, 0.006472480824834823)	(5, 0.008439409822576457)	(6, 0.009633166986378677)	(7, 0.011794018561362443)	(8, 0.014420788016733152)	(9, 0.018102798509304557)	(10, 0.021954806066341467)	(12, 0.025021049414293374)	(14, 0.028841576033466303)	(16, 0.03182722818048641)	(18, 0.034715919038885455)	(20, 0.03867999873471814)	(22, 0.04239474940266809)	(24, 0.04587780036793913)	(26, 0.049640402061442324)	(28, 0.05255679614516168)	(30, 0.0555172635418906)	(32, 0.05837825117496934)	(34, 0.06097353969247607)	(36, 0.06479658478667812)	(38, 0.06760846215668903)	(40, 0.07019745448662296)	(42, 0.07258119110168373)	(44, 0.07482641159014297)	(46, 0.07719629659254358)	(48, 0.07943773936845915)	(50, 0.08141474226631726)	(52, 0.0835793715538447)	(54, 0.08542289527515952)	(56, 0.0871782723704552)	(58, 0.08963126704881672)	(60, 0.09175937844842194)	(62, 0.09360919835730955)	(64, 0.09545272207862437)	(66, 0.09775334901772423)	(68, 0.100031309681562)	(70, 0.10213171785584693)	(72, 0.10456960168403373)	(74, 0.10676697114693973)	(76, 0.10852738519229363)	(78, 0.11056231301582146)	(80, 0.11254813057628149)	(82, 0.11469009358854687)	(84, 0.11665324487374482)	(86, 0.11852824953292362)	(88, 0.12066139788258709)	(90, 0.1223349245394364)																								
Liver_ZT0_2_R2 - illumina_universal_adapter	(1, 3.02217003494233e-05)	(2, 4.0295600465897734e-05)	(3, 5.792492566972799e-05)	(4, 0.00011836832636857458)	(5, 0.0001813302020965398)	(6, 0.00025688445297009804)	(7, 0.00028206920326128413)	(8, 0.00033243870384365627)	(9, 0.0005036950058237217)	(10, 0.0007102099582114475)	(12, 0.0010250193368512737)	(14, 0.0012944961649669646)	(16, 0.0015450844303642663)	(18, 0.0018989301719554309)	(20, 0.002213739550595257)	(22, 0.0024567723909052026)	(24, 0.0027627671069431134)	(26, 0.0030649841104373465)	(28, 0.0034994210529603062)	(30, 0.0041768908357932115)	(32, 0.005237168823052146)	(34, 0.006728106040290362)	(36, 0.008624517737216675)	(38, 0.011198399216975892)	(40, 0.014594562793742334)	(42, 0.019078707583088016)	(44, 0.024366245906722536)	(46, 0.03027584756254935)	(48, 0.03768394186070174)	(50, 0.04707533524428503)	(52, 0.0586300986778812)	(54, 0.07196164624452056)	(56, 0.08741878673573601)	(58, 0.10578602512309802)	(60, 0.12852407692349538)	(62, 0.15657359256030387)	(64, 0.1900529403598921)	(66, 0.23031957836295497)	(68, 0.2787385200352748)	(70, 0.3347934779958822)	(72, 0.40235786683956165)	(74, 0.48374490588055863)	(76, 0.581120483643915)	(78, 0.6954164358904049)	(80, 0.8289447226967589)	(82, 0.9840324149898827)	(84, 1.1637079789922917)	(86, 1.3776549511909466)	(88, 1.622245468306402)	(90, 1.8230283715278541)																								
Liver_ZT0_2_R2 - polya	(1, 0.004853101381111558)	(2, 0.009534946460243051)	(3, 0.018825600842661598)	(4, 0.028458767829040273)	(5, 0.03983220106053991)	(6, 0.051344150418641064)	(7, 0.06383326808804024)	(8, 0.08158851704332644)	(9, 0.1002201953087459)	(10, 0.12697521478058743)	(12, 0.16194927750995752)	(14, 0.19847472085726472)	(16, 0.23611333016744235)	(18, 0.27270425386550656)	(20, 0.307514615717984)	(22, 0.33935065856107227)	(24, 0.3691643659557784)	(26, 0.39480747870226407)	(28, 0.420487109336672)	(30, 0.4452588297230826)	(32, 0.46863153723081785)	(34, 0.4916441028093891)	(36, 0.5136429821887402)	(38, 0.5354076433903832)	(40, 0.5550177492046152)	(42, 0.5735235037185789)	(44, 0.5916565239282328)	(46, 0.6099947998527598)	(48, 0.62603874502576)	(50, 0.6418975822841199)	(52, 0.6572426506365395)	(54, 0.6726129037392503)	(56, 0.6879944899795922)	(58, 0.7019669894411423)	(60, 0.7155340144230042)	(62, 0.7296626593363597)	(64, 0.7434500508832695)	(66, 0.7565801204475793)	(68, 0.7695918216855206)	(70, 0.781405988047116)	(72, 0.7943408757966692)	(74, 0.8056677172401301)	(76, 0.8168018953438635)	(78, 0.8281576992501594)	(80, 0.8400134204497351)	(82, 0.8510871551527697)	(84, 0.8620311883918046)	(86, 0.8723682691488219)	(88, 0.8824446877403255)	(90, 0.8899283362893514)																								
Liver_ZT0_2_R2 - polyg	(1, 0.8883920665215891)	(2, 0.9015183583733553)	(3, 0.9016316897496656)	(4, 0.9017475396010051)	(5, 0.9018709448774319)	(6, 0.9020044240539752)	(7, 0.9022839747822073)	(8, 0.9031125530667874)	(9, 0.9040796474779689)	(10, 0.9056285096208768)	(12, 0.9080915781993548)	(14, 0.9094502954775643)	(16, 0.9099111764078931)	(18, 0.9103607242005907)	(20, 0.9106981998544925)	(22, 0.9110218238957344)	(24, 0.9113932989625293)	(26, 0.9117118860537128)	(28, 0.9119662520316538)	(30, 0.912257135897517)	(32, 0.9125870561263315)	(34, 0.9128502367668745)	(36, 0.9131310467326212)	(38, 0.9134105974608533)	(40, 0.9136825927639982)	(42, 0.9139734766298613)	(44, 0.9142555458331226)	(46, 0.9145162079986364)	(48, 0.9148536836525383)	(50, 0.9151848631188674)	(52, 0.9155815229359536)	(54, 0.9159693680904378)	(56, 0.9163987680829025)	(58, 0.9167916501874451)	(60, 0.9172877897681815)	(62, 0.9178078548616944)	(64, 0.9183971780185082)	(66, 0.9190897586515159)	(68, 0.9196904149459606)	(70, 0.92030618209058)	(72, 0.9210201697613352)	(74, 0.9217215650569448)	(76, 0.922383923989603)	(78, 0.9232225761742994)	(80, 0.9242702617864127)	(82, 0.9254312787748364)	(84, 0.9266313321262114)	(86, 0.927947235328926)	(88, 0.9292606200566114)	(90, 0.9303070464312101)																								
Liver_ZT12_1_R1 - illumina_universal_adapter	(1, 4.7852407861384974e-05)	(2, 5.848627627502608e-05)	(3, 6.912014468866718e-05)	(4, 0.00011697255255005216)	(5, 0.00014355722358415493)	(6, 0.00018077576303189878)	(7, 0.0002233112366864632)	(8, 0.00025521284192738653)	(9, 0.0003721853944774387)	(10, 0.0005449857561991066)	(12, 0.0007284199863344157)	(14, 0.0008932449467458528)	(16, 0.0010128759663993153)	(18, 0.0012202364004653167)	(20, 0.0013930367621869848)	(22, 0.00153925245287455)	(24, 0.0016854681435621152)	(26, 0.0019087793802485785)	(28, 0.002145382952452093)	(30, 0.0023686941891385566)	(32, 0.002578713090307968)	(34, 0.002956215418992227)	(36, 0.0035889305896038733)	(38, 0.0045273694771077)	(40, 0.0057874828841241715)	(42, 0.007847794889267136)	(44, 0.010498286591367182)	(46, 0.014103167983591515)	(48, 0.019005381322280065)	(50, 0.02511188025881347)	(52, 0.03276560704953166)	(54, 0.042862465108283884)	(56, 0.054791007001285794)	(58, 0.06962525343831513)	(60, 0.0877533406164698)	(62, 0.1112674821461337)	(64, 0.14077646699398777)	(66, 0.17600647304838074)	(68, 0.21993232499802873)	(70, 0.27136568804770733)	(72, 0.33563147180554737)	(74, 0.41615909883494806)	(76, 0.5169947560672998)	(78, 0.6409351508953903)	(80, 0.7882354961611469)	(82, 0.9663341828199116)	(84, 1.1808884288677413)	(86, 1.4462699074656722)	(88, 1.7604209650756646)	(90, 2.0208337686573214)																								
Liver_ZT12_1_R1 - polya	(1, 0.0012866980780505738)	(2, 0.0029402646163717654)	(3, 0.004359886049592853)	(4, 0.00558278091716158)	(5, 0.006816309653143948)	(6, 0.0076138497841670314)	(7, 0.008687870493944783)	(8, 0.010601966808400181)	(9, 0.013122193622433123)	(10, 0.015908267146807094)	(12, 0.018415201625322987)	(14, 0.021658531491483522)	(16, 0.024194709108136925)	(18, 0.026326799725071966)	(20, 0.02895602369034473)	(22, 0.031319400945276465)	(24, 0.033919381772411716)	(26, 0.03672406456650956)	(28, 0.0391937805055777)	(30, 0.04163425330650834)	(32, 0.04407738457454238)	(34, 0.04652317430967984)	(36, 0.04929861396564016)	(38, 0.05207405362160049)	(40, 0.05443477240942882)	(42, 0.05668915251312073)	(44, 0.05865907663674774)	(46, 0.06077255798395892)	(48, 0.06287806392985985)	(50, 0.0648081110469357)	(52, 0.06680461984159683)	(54, 0.06854059886012374)	(56, 0.07037759962858026)	(58, 0.07270641681116766)	(60, 0.07491294450699817)	(62, 0.07656119411111253)	(64, 0.07841148721508609)	(66, 0.0807137197266394)	(68, 0.08334560215901557)	(70, 0.08511348278278341)	(72, 0.08718177018923659)	(74, 0.08915169431286361)	(76, 0.0907760177130473)	(78, 0.09254123986971172)	(80, 0.0944021668420989)	(82, 0.09601319790676555)	(84, 0.09782095553708453)	(86, 0.09963137163450692)	(88, 0.10172092677778741)	(90, 0.10341437032265975)																								
Liver_ZT12_1_R2 - illumina_universal_adapter	(1, 4.7852407861384974e-05)	(2, 5.848627627502608e-05)	(3, 6.380321048184663e-05)	(4, 0.0001010217499295905)	(5, 0.00012760642096369326)	(6, 0.00016482496041143714)	(7, 0.00018609269723871935)	(8, 0.00021799430247964265)	(9, 0.0003296499208228743)	(10, 0.0004944748812343114)	(12, 0.0006725921771627999)	(14, 0.0008347586704708268)	(16, 0.0009570481572276994)	(18, 0.001175042459707342)	(20, 0.0013558182227392409)	(22, 0.001517984716047268)	(24, 0.0016668588738382433)	(26, 0.001866243906594014)	(28, 0.002132090616935042)	(30, 0.0023633772549317353)	(32, 0.002581371557411378)	(34, 0.002974824688716099)	(36, 0.003634124530361848)	(38, 0.004580538819175906)	(40, 0.00586457843012307)	(42, 0.007956792040506956)	(44, 0.010615259143917234)	(46, 0.01424140827296885)	(48, 0.019196790953725604)	(50, 0.02533784996260334)	(52, 0.03304474609538974)	(54, 0.04311236101600445)	(56, 0.05502761057348931)	(58, 0.06990705095127663)	(60, 0.0881122336754302)	(62, 0.11177790782998848)	(64, 0.14132145275018687)	(66, 0.17657272654140715)	(68, 0.22048794462264149)	(70, 0.2720542310274906)	(72, 0.33632001478533063)	(74, 0.4168449833476279)	(76, 0.5178029300667366)	(78, 0.64173003255931)	(80, 0.7891446919105132)	(82, 0.9672380616350711)	(84, 1.1818534524262794)	(86, 1.4474183652543453)	(88, 1.7616332260748195)	(90, 2.0220726143275107)																								
Liver_ZT12_1_R2 - polya	(1, 0.004179110286560954)	(2, 0.006598315350664305)	(3, 0.008549630204567449)	(4, 0.01172915686024614)	(5, 0.01453649812144739)	(6, 0.016875949172448435)	(7, 0.01886448256579932)	(8, 0.023128663799669404)	(9, 0.027536402257123643)	(10, 0.03427561636426869)	(12, 0.042243042273189285)	(14, 0.05057999510948392)	(16, 0.05891694794577854)	(18, 0.06651750539442852)	(20, 0.07431478940873086)	(22, 0.0814899921208352)	(24, 0.08841264045811556)	(26, 0.09439684990789209)	(28, 0.10035447468663453)	(30, 0.10608878822869047)	(32, 0.11177524936288506)	(34, 0.11737663954977051)	(36, 0.12320399944044585)	(38, 0.12870968481160852)	(40, 0.1334417562556788)	(42, 0.13818712003526618)	(44, 0.1432488414001593)	(46, 0.14808990999546945)	(48, 0.1526837411501624)	(50, 0.15701970099582457)	(52, 0.1615337781374152)	(54, 0.16624724031176163)	(56, 0.17108565043996832)	(58, 0.17533388087121796)	(60, 0.17939601860522886)	(62, 0.18371071071406375)	(64, 0.1877409468428337)	(66, 0.1916223088138127)	(68, 0.19579344369906343)	(70, 0.19942490976232186)	(72, 0.20322120078599176)	(74, 0.20659745400732282)	(76, 0.21000029189968794)	(78, 0.21361846562742934)	(80, 0.21753172920364927)	(82, 0.2210063457078065)	(84, 0.22414333688983062)	(86, 0.22750629777564463)	(88, 0.23082406472070066)	(90, 0.23329112219266537)																								
Liver_ZT12_1_R2 - polyg	(1, 0.1664678930813447)	(2, 0.170902216209833)	(3, 0.17093943474928078)	(4, 0.17097665328872852)	(5, 0.17103513956500355)	(6, 0.17106704117024446)	(7, 0.17113084438072632)	(8, 0.17134883868320594)	(9, 0.17150834670941056)	(10, 0.1717954611565789)	(12, 0.17229791143912343)	(14, 0.17268870610332474)	(16, 0.1728561895308396)	(18, 0.17300240522152716)	(20, 0.1730954515701465)	(22, 0.17318849791876587)	(24, 0.17336129828048752)	(26, 0.17349688010276146)	(28, 0.17362714499082854)	(30, 0.17376538528020588)	(32, 0.1739966719182026)	(34, 0.17414554607599358)	(36, 0.1743130295035084)	(38, 0.17451241453626418)	(40, 0.17465597175984832)	(42, 0.17487130759522457)	(44, 0.17504144948984282)	(46, 0.175243492989702)	(48, 0.17542161028563047)	(50, 0.17563162918679992)	(52, 0.1759160851668648)	(54, 0.1762191504166536)	(56, 0.17653284953485598)	(58, 0.17694757040298797)	(60, 0.17735431586980976)	(62, 0.17770789199456333)	(64, 0.1780907112574544)	(66, 0.17849213979006934)	(68, 0.17890154372399453)	(70, 0.17932423999343677)	(72, 0.17975491166418922)	(74, 0.18014304786128715)	(76, 0.18063486427541803)	(78, 0.181302139518374)	(80, 0.18196143936001977)	(82, 0.18279088109628377)	(84, 0.18371071071406372)	(86, 0.1845826879239823)	(88, 0.18549188367334862)	(90, 0.18609269723871935)																								
Liver_ZT12_2_R1 - illumina_universal_adapter	(1, 7.252982807311964e-06)	(2, 7.252982807311964e-06)	(3, 1.4505965614623928e-05)	(4, 5.0770879651183746e-05)	(5, 5.802386245849571e-05)	(6, 0.00011604772491699142)	(7, 0.0001813245701827991)	(8, 0.00020308351860473498)	(9, 0.0003046252779071025)	(10, 0.0003662756317692542)	(12, 0.00046419089966796574)	(14, 0.0005149617793191494)	(16, 0.0005657326589703332)	(18, 0.0006999128409056045)	(20, 0.0008232135486299079)	(22, 0.0008558519712628119)	(24, 0.0009320082907395874)	(26, 0.0010081646102163629)	(28, 0.0011278388265370102)	(30, 0.0012982839225088416)	(32, 0.0014505965614623928)	(34, 0.0016536800800671279)	(36, 0.0019220404439376706)	(38, 0.002415243274834884)	(40, 0.0029737229509979052)	(42, 0.0037316596543620056)	(44, 0.004743450755982025)	(46, 0.005936566427784843)	(48, 0.007572114050833691)	(50, 0.009925706971806423)	(52, 0.012946574311051857)	(54, 0.01673625782787236)	(56, 0.020924855399095013)	(58, 0.026252171271065654)	(60, 0.03362482829469826)	(62, 0.04298842909893801)	(64, 0.05483255002327844)	(66, 0.0689903724631514)	(68, 0.08595147275805043)	(70, 0.10658983533625663)	(72, 0.13259177870047)	(74, 0.16620935401236098)	(76, 0.20792488462861575)	(78, 0.25964590502755736)	(80, 0.32211221945553165)	(82, 0.3970500378206788)	(84, 0.48885104121282635)	(86, 0.604739200508057)	(88, 0.7423863082252233)	(90, 0.858346997348527)																								
Liver_ZT12_2_R1 - polya	(1, 0.0011097063695187305)	(2, 0.0025530499481738115)	(3, 0.00398914054402158)	(4, 0.005432484122676661)	(5, 0.006948357529404862)	(6, 0.007637390896099498)	(7, 0.009211288165286194)	(8, 0.01130014721379204)	(9, 0.014382664906899625)	(10, 0.01771903699826313)	(12, 0.020301098877666186)	(14, 0.023720880271313777)	(16, 0.0265531700575691)	(18, 0.0290083047378442)	(20, 0.03317151686924127)	(22, 0.03650426246920112)	(24, 0.039572274196694075)	(26, 0.0426838038210309)	(28, 0.04510992657007676)	(30, 0.04782616863141509)	(32, 0.05041548349362546)	(34, 0.05281259431144207)	(36, 0.056366555887024924)	(38, 0.05970655446979209)	(40, 0.06227773687498418)	(42, 0.06435571644927907)	(44, 0.06655337023989458)	(46, 0.06876190350472108)	(48, 0.07074922079392455)	(50, 0.07261686386680738)	(52, 0.0749305653823399)	(54, 0.07699766548242382)	(56, 0.07875651381319695)	(58, 0.0814800088573426)	(60, 0.08393877002902136)	(62, 0.08567223291996892)	(64, 0.08749998458741154)	(66, 0.0899587457590903)	(68, 0.09268224080323592)	(70, 0.0949342919649063)	(72, 0.09719359610938397)	(74, 0.0994746592022836)	(76, 0.1009977855918191)	(78, 0.10298872937242623)	(80, 0.10501593806706994)	(82, 0.10707578518434652)	(84, 0.10879474210967946)	(86, 0.11056446991466358)	(88, 0.11243573947895007)	(90, 0.11405315464498063)																								
Liver_ZT12_2_R2 - illumina_universal_adapter	(1, 7.252982807311964e-06)	(2, 7.252982807311964e-06)	(3, 7.252982807311964e-06)	(4, 2.9011931229247855e-05)	(5, 3.626491403655982e-05)	(6, 9.428877649505553e-05)	(7, 0.00013780667333892731)	(8, 0.00015231263895355124)	(9, 0.0002538543982559187)	(10, 0.00031550475211807044)	(12, 0.0004134200200167819)	(14, 0.00047144388247527763)	(16, 0.0005294677449337733)	(18, 0.0006636479268690447)	(20, 0.000790575125997004)	(22, 0.0008195870572262519)	(24, 0.0008957433767030276)	(26, 0.0009718996961798033)	(28, 0.0011060798781150744)	(30, 0.0012982839225088416)	(32, 0.0015122469153245445)	(34, 0.0017407158737548713)	(36, 0.0020380881688546616)	(38, 0.002553049948173811)	(40, 0.0031332885727587685)	(42, 0.003920237207352116)	(44, 0.004953787257394071)	(46, 0.0061432764377932336)	(48, 0.007786077043649394)	(50, 0.010146922947429438)	(52, 0.013214934674922399)	(54, 0.01708440100262333)	(56, 0.021316516470689863)	(58, 0.026669217782486092)	(60, 0.034067260245944295)	(62, 0.04348163192983523)	(64, 0.055380150225230504)	(66, 0.0696250084587912)	(68, 0.08651357892561712)	(70, 0.10710479711557577)	(72, 0.13313212591961476)	(74, 0.16669530386045087)	(76, 0.20835643710565077)	(78, 0.26008471048739973)	(80, 0.3225002540357228)	(82, 0.3972204829166507)	(84, 0.4889163180580922)	(86, 0.6046702971713875)	(88, 0.7421360803183712)	(90, 0.857904565397281)																								
Liver_ZT12_2_R2 - polya	(1, 0.003815068956646093)	(2, 0.006208553283059041)	(3, 0.008587531643857366)	(4, 0.011749832147845382)	(5, 0.014999168445521141)	(6, 0.017697278049841194)	(7, 0.02035186975731737)	(8, 0.025349174911555316)	(9, 0.030411756911059067)	(10, 0.03730209057800543)	(12, 0.04619787399117356)	(14, 0.055652137080504704)	(16, 0.06494683454807498)	(18, 0.07359239005439085)	(20, 0.08252443838159552)	(22, 0.09054986385788621)	(24, 0.09796966526976636)	(26, 0.10452998821898002)	(28, 0.11143120136013736)	(30, 0.11822724625058867)	(32, 0.12467152147488535)	(34, 0.1309707370430358)	(36, 0.1376108428031299)	(38, 0.1438375285432072)	(40, 0.14956738496098368)	(42, 0.1551267962827883)	(44, 0.1604541121547589)	(46, 0.16589022276883925)	(48, 0.17078598616377483)	(50, 0.17547141305729835)	(52, 0.1799319974837952)	(54, 0.1847189661366211)	(56, 0.18921944196855817)	(58, 0.19374530324032085)	(60, 0.1983473208315603)	(62, 0.2033881438826421)	(64, 0.20823313639792648)	(66, 0.21236371010669064)	(68, 0.21606635782982342)	(70, 0.22016066662455103)	(72, 0.2243782761270029)	(74, 0.22808455034153935)	(76, 0.23178357157326843)	(78, 0.23531577420042937)	(80, 0.2397038287988531)	(82, 0.24366033092024178)	(84, 0.24699307652020164)	(86, 0.2513412397131851)	(88, 0.25534488622282137)	(90, 0.25822069390592056)																								
Liver_ZT12_2_R2 - polyg	(1, 0.16169799870621293)	(2, 0.1658684638204173)	(3, 0.16597725856252699)	(4, 0.16607154733902205)	(5, 0.16609330628744398)	(6, 0.16613682418428785)	(7, 0.1662311129607829)	(8, 0.166419690513773)	(9, 0.16656475016991926)	(10, 0.16703982054379818)	(12, 0.16748225249504423)	(14, 0.1677216009276855)	(16, 0.16779413075575864)	(18, 0.16794281690330853)	(20, 0.16814227393050962)	(22, 0.16826920112963756)	(24, 0.16838524885455455)	(26, 0.16853756149350813)	(28, 0.16867174167544338)	(30, 0.16879141589176405)	(32, 0.168918343090892)	(34, 0.1690815352040565)	(36, 0.16925198030002833)	(38, 0.16940066644757823)	(40, 0.16958199101776103)	(42, 0.1698322189246133)	(44, 0.17004980840883266)	(46, 0.17029278333287762)	(48, 0.17050311983428965)	(50, 0.17068081791306877)	(52, 0.17089840739728815)	(54, 0.1712066591665989)	(56, 0.1715620553241572)	(58, 0.1719174514817155)	(60, 0.1723199920275213)	(62, 0.1726572557280613)	(64, 0.17295100153175744)	(66, 0.173335409620545)	(68, 0.1736871792866996)	(70, 0.1740063105302213)	(72, 0.17442698353304542)	(74, 0.17481139162183296)	(76, 0.1752683295386936)	(78, 0.17577603833520544)	(80, 0.17634539748557942)	(82, 0.1770815752405216)	(84, 0.17774884965879428)	(86, 0.1785720632074242)	(88, 0.17936626482482487)	(90, 0.17997551538063908)																								
